item_id	resource_needed	expected_processed_or_metadata_file	source_to_check	verified_source_url	verified_file_name_at_source	local_target_path	verification_status	required_for_phase2d	required_for_phase3	notes
sample_metadata	processed sample metadata	sample_metadata.tsv	Wallen article / supplementary repository	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/sample_metadata.tsv	pending_manual_verification	yes	yes	must include stable sample IDs and PD/control linkage
species_abundance	species abundance table	species_abundance.tsv	Wallen article / supplementary repository	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/species_abundance.tsv	pending_manual_verification	yes	no	core requirement for Phase 2D
genus_abundance	genus abundance table	genus_abundance.tsv	Wallen article / supplementary repository	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/genus_abundance.tsv	pending_manual_verification	no	no	optional fallback taxonomic level
gene_family_abundance	gene family abundance table	gene_family_abundance.tsv	Wallen article / supplementary repository	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/gene_family_abundance.tsv	pending_manual_verification	yes	no	functional proxy table for pre-raw-read stage
pathway_abundance	pathway abundance table	pathway_abundance.tsv	Wallen article / supplementary repository	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/pathway_abundance.tsv	pending_manual_verification	yes	no	pathway-level context before raw reads
run_accession_mapping	run/sample accession mapping	run_accession_mapping.tsv	NCBI BioProject PRJNA834801 / linked resources	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/run_accession_mapping.tsv	pending_manual_verification	yes	yes	required before any Phase 3 raw-read subset selection
clinical_metadata	clinical metadata table	clinical_metadata.tsv	Wallen article / supplementary repository	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/clinical_metadata.tsv	pending_manual_verification	no	yes	preferred covariates for downstream interpretation
raw_accession_metadata	raw accession-level metadata	raw_accession_metadata.tsv	NCBI BioProject PRJNA834801 / run metadata	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/raw_accession_metadata.tsv	pending_manual_verification	no	yes	needed for controlled subset design later
README_or_data_dictionary	data dictionary / README	README_or_data_dictionary.txt	Wallen repository or supplementary files	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/README_or_data_dictionary.txt	pending_manual_verification	yes	yes	required for provenance and schema interpretation
license_or_access_terms	license and access terms	license_or_access_terms.txt	NCBI / repository license pages	pending_manual_verification	pending_manual_verification	data/phase2b/processed_tables/wallen_prjna834801/license_or_access_terms.txt	pending_manual_verification	yes	yes	must be verified before any manual file transfer
